,rat,sess,sh,clu,nonuniform_norm_spk_times_D,nonuniform_norm_spk_times_p,mwu_normtime_rdsym_p,norm_spktime_asym_mode,norm_spktime_sym_mode,mwu_trough_time_rdsym_p,trough_spike_asym_mode,trough_spike_sym_mode,pha_spike_asym_mode,pha_spike_sym_mode
547,g01,g01_maze04_MS.002,14,5,0.19299795424958155,0.0,0.42833995217665655,0.775,0.8250000000000001,0.14604092256342804,0.014999999999999937,-0.08500000000000002,-2.356194490192345,-1.7278759594743862
548,g01,g01_maze04_MS.002,14,6,0.2145515080297689,4.694953223083331e-06,0.34298477417341144,0.8250000000000001,0.775,0.07622946708923288,0.004999999999999942,0.044999999999999915,-1.0995574287564276,-1.413716694115407
549,g01,g01_maze04_MS.002,14,7,0.012073452862926548,0.6120433777706574,0.12001516416425445,0.225,0.875,0.18591953598858624,-0.08500000000000002,0.07499999999999991,-0.15707963267948966,1.7278759594743862
550,g01,g01_maze04_MS.002,14,8,0.12799568189996402,0.0,0.1351402119168703,0.7250000000000001,0.7250000000000001,0.18796667481399576,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.0420352248333655
551,g01,g01_maze04_MS.002,14,9,0.10166092578326688,1.5459154712736884e-235,2.703594437529127e-06,0.625,0.5750000000000001,4.6588667185885805e-05,-0.005000000000000053,0.014999999999999937,-2.9845130209103035,-2.356194490192345
552,g01,g01_maze04_MS.002,14,10,0.07057754828839163,1.6537817709082936e-15,0.4208728102229973,0.775,0.7250000000000001,0.15757952190769753,0.014999999999999937,0.034999999999999934,-2.356194490192345,-2.0420352248333655
553,g01,g01_maze04_MS.002,14,11,0.08554857957075429,5.644106826352413e-08,0.2680746486583446,0.925,0.7250000000000001,0.47214318983610365,0.034999999999999934,0.06499999999999992,-0.7853981633974483,-1.413716694115407
554,g01,g01_maze04_MS.002,15,2,0.07832244826464474,0.00652337363821176,0.2866489015816339,0.625,0.675,0.2519841412444289,-0.005000000000000053,0.014999999999999937,2.9845130209103035,-1.7278759594743862
555,g01,g01_maze04_MS.002,15,3,0.21040323600050564,7.38031857849819e-12,0.02553634062221959,0.875,0.775,0.21157116596223347,0.034999999999999934,-0.08500000000000002,-0.7853981633974483,-1.0995574287564276
556,g01,g01_maze04_MS.002,4,2,0.05327956043298915,2.028940191495337e-15,0.024675461580171594,0.5750000000000001,0.625,0.36975513978719304,0.004999999999999942,0.014999999999999937,-2.9845130209103035,-2.356194490192345
557,g01,g01_maze04_MS.002,4,3,0.018850783556665918,0.7626580747284392,0.031786220071467,0.775,0.32500000000000007,0.07544190541790019,0.014999999999999937,0.004999999999999942,-2.670353755551324,2.9845130209103035
558,g01,g01_maze04_MS.002,5,3,0.11664813200685276,1.3722629033097178e-08,0.2971372978368113,0.8250000000000001,0.875,0.2557322649226301,-0.08500000000000002,0.05499999999999991,-1.413716694115407,-0.7853981633974483
559,g01,g01_maze04_MS.002,5,4,0.08224078490491427,1.2439791661211785e-06,0.030281143702039128,0.875,0.875,0.04975992112025095,0.034999999999999934,-0.07500000000000001,-0.7853981633974483,-0.15707963267948966
560,g01,g01_maze04_MS.002,5,5,0.181197958635509,5.862421659230677e-11,0.00012194420472210236,0.8250000000000001,0.525,0.005800266157297209,0.014999999999999937,-0.08500000000000002,-2.0420352248333655,-2.356194490192345
561,g01,g01_maze04_MS.002,5,6,0.21085612668303838,0.0,0.3232152199951572,0.875,0.8250000000000001,0.13165811335992755,0.02499999999999994,-0.08500000000000002,-1.0995574287564276,-1.7278759594743862
562,g01,g01_maze04_MS.002,5,7,0.1855263157894737,2.5514701462725498e-11,0.003342389191048279,0.775,0.5750000000000001,7.752065074549288e-05,0.02499999999999994,-0.08500000000000002,-1.413716694115407,-2.9845130209103035
563,g01,g01_maze04_MS.002,6,2,0.23171487266442753,2.220446049250313e-16,0.43724092169759793,0.925,0.875,0.009406265912140463,0.034999999999999934,0.05499999999999991,-0.47123889803846897,-1.0995574287564276
564,g01,g01_maze04_MS.002,6,4,0.10457424931219395,0.0,7.328515256505404e-12,0.7250000000000001,0.675,7.313385233406857e-09,0.004999999999999942,0.034999999999999934,-2.670353755551324,-2.0420352248333655
565,g01,g01_maze04_MS.002,6,5,0.1260121457489879,0.0,0.46877645105695726,0.925,0.925,0.36171024203697094,0.044999999999999915,-0.07500000000000001,-0.15707963267948966,-0.47123889803846897
566,g01,g01_maze04_MS.002,7,2,0.09629114014421364,5.270525103018286e-07,0.3536955660482807,0.07500000000000001,0.7250000000000001,9.116427640590394e-05,-0.08500000000000002,0.07499999999999991,-2.0420352248333655,0.47123889803846897
567,g01,g01_maze04_MS.002,8,3,0.03509618641197587,0.2191756389563264,0.01787699362118309,0.675,0.275,0.12016090914311611,0.02499999999999994,-0.015000000000000048,-1.413716694115407,-1.7278759594743862
568,g01,g01_maze04_MS.002,9,3,0.2591016548463356,8.215650382226158e-14,0.40966330555753266,0.675,0.8250000000000001,0.1823479376274374,0.004999999999999942,-0.08500000000000002,-1.7278759594743862,-1.7278759594743862
569,g01,g01_maze04_MS.002,9,5,0.41979278647659113,0.0,5.548150994976789e-09,0.8250000000000001,0.775,2.701468344146284e-09,0.014999999999999937,0.044999999999999915,-1.7278759594743862,-1.7278759594743862
570,g01,g01_maze05_MS.001,12,3,0.049570379628183114,1.5622713228580481e-07,0.09073668565548848,0.875,0.8250000000000001,0.37019670039928576,0.05499999999999991,-0.04500000000000003,-1.7278759594743862,0.47123889803846897
571,g01,g01_maze05_MS.001,13,2,0.12291514531911785,0.0037064930395835916,0.0021121938138440417,0.42500000000000004,0.5750000000000001,0.3665701994453118,-0.025000000000000043,0.02499999999999994,1.0995574287564276,-2.356194490192345
