,rat,sess,sh,clu,fr1,fr2,type,fr_recording,N_spikes_recording,fr_burst0,fr_notburst0,N_spikes_burst0,mwu_fr_burst0_notburst_p,fr_burst1,fr_notburst1,N_spikes_burst1,mwu_fr_burst1_notburst_p,fr_burst2,fr_notburst2,N_spikes_burst2,mwu_fr_burst2_notburst_p,fr_burst3,fr_notburst3,N_spikes_burst3,mwu_fr_burst3_notburst_p,sfc_magnitude_recording,sfc_phase_recording,sfc_magnitude_cycles,sfc_phase_cycles,sfc_magnitude_cycles_hilbert,sfc_phase_cycles_hilbert,norm_fr_diff_burst0,norm_fr_diff_burst1,norm_fr_diff_burst2,norm_fr_diff_burst3,sfc_phase_cycles_2pi
1131,pin01,11-05_0-06-51,3,8,6.7857919029648,7.15550156195765,i,9.090900199094744,5642,9.472602677886222,8.143928465832222,4190,2.5171044818696687e-05,9.810526315789474,8.920626028500402,1165,0.0036928447842859828,9.350831975076044,7.9036099686152,4761,6.58149376933752e-05,10.390268405075455,9.009534645828662,380,0.011043127894903115,0.24798315111221036,1.4841883140400598,0.27573904424894874,1.4329077814573594,0.25813777425408296,1.4620885503471117,0.0754220113604924,0.04750910520250798,0.0838753296793811,0.07117256580511751,1.4329077814573594
1132,pin01,11-05_0-06-51,3,9,0.47942181624672,0.499479347448803,n,0.3367596847945412,209,0.3413754187018663,0.3253084373404055,151,0.4162435580942402,0.3536842105263158,0.3327550919722062,42,0.42045873009527923,0.345672427560047,0.29604895455652847,176,0.3347644825081788,0.32811373910764596,0.33730108803273395,12,0.27698495880208673,0.40711446410036867,-1.5881283413139275,0.4910735650744747,-1.563332550021679,0.48043364403669553,-1.579341440792352,0.024099850650113903,0.030489394295943127,0.07732868872133658,-0.013806949515343114,4.719852757157907
1133,pin01,11-05_0-06-51,3,10,0.809647242534277,0.8670600485942379,p,0.9522726015003533,591,1.0467338997282387,0.7347483670964331,463,0.011823196045476563,1.1621052631578948,0.908600730175605,138,0.21154048632152095,0.9997003728867268,0.7625503374940885,509,0.09958613640159597,1.6132258839459257,0.916020721307171,59,0.017238896327811705,0.28161964491681585,-2.379548617692269,0.3005913918329317,-2.4904920176571443,0.3735013431735807,-2.5238006516705727,0.17512693695676868,0.12242420401468422,0.13457224559233746,0.2756572495503999,3.792693289522442
1134,pin01,11-05_0-06-51,3,11,1.57222072786688,1.68257549461992,p,3.628625885920128,2252,3.3685388997733816,4.273879814713603,1490,1.4877872856258228e-09,2.416842105263158,3.9153518306909296,287,1.0584597648909424e-09,3.4881490417422922,4.2702818899668955,1776,5.176154033472799e-07,1.6405686955382297,3.7531166749632123,60,2.3509476343340186e-06,0.13283002500647223,1.198970802787929,0.15046185305627183,1.0815920602270657,0.16950736312852338,1.2855229529859111,-0.11846261619035026,-0.2366493731215747,-0.10081069936808716,-0.3916705989152983,1.0815920602270657
1135,pin01,11-05_0-06-51,3,12,13.6047805473435,14.3934397778549,i,27.12446188436032,16834,28.349985102790743,24.089650661673133,12540,5.638173198780562e-12,28.65684210526316,26.763870630962117,3403,0.06033846855896761,27.901264238170615,23.5852333796701,14206,6.918391237073441e-09,28.874009041472846,27.016618619637104,1056,0.19816702389079538,0.3520201787797681,1.4998757451677212,0.3926192852975811,1.4933947626292678,0.36929237407479293,1.3885109293881106,0.08124263982788109,0.03415638992790718,0.08382840275010194,0.03323259193111834,1.4933947626292678
1136,pin01,11-05_0-06-51,3,13,20.0270500607177,21.3018049288442,i,32.18230231770991,19973,34.035807473884745,27.58391198000197,15055,1.6016159103414878e-33,35.8821052631579,31.30687428184014,4261,6.6978560948391775e-15,33.24543853016429,27.326215623611688,16927,9.783566717062918e-21,36.256568171394875,31.927174561149187,1326,8.375326118866575e-06,0.14436967899217487,1.4553618273103988,0.16333373360215986,1.357119306243601,0.13804038961391515,1.4382425130347223,0.10470504492820787,0.06809496158895546,0.09772265574133418,0.06349598066548012,1.357119306243601
1137,pin01,11-05_0-06-51,3,14,0.7568981255682949,0.809614717112114,p,0.4962774302235344,308,0.5425834469433635,0.3813960989508202,240,0.16121588527081526,0.6147368421052632,0.4682481833141824,73,0.19951656309020377,0.5440412638303013,0.2781065936743146,277,0.029547737329293642,0.6562274782152919,0.48626146701165707,24,0.13582176728281975,0.0996637087809641,2.3829694253040037,0.07195814152502945,2.4846381260202497,0.0439700443471811,3.0514789388519263,0.1744490434975525,0.13526378975955375,0.3234633134764249,0.14876818888595206,2.4846381260202497
1138,pin01,11-05_0-24-7,2,2,0.215052464956288,0.227351614022909,p,0.05125114160407548,29,0.16112824087728236,0.011993531922720272,24,5.034623507620558e-07,0.2386479159606913,0.03786956475710697,9,7.641149393683353e-06,0.1346520771011006,0.005474588203399317,27,3.8969975878737533e-07,0.35142873182507156,0.04350873128493238,5,0.00012682306777180081,,,,,,,0.8614439798213517,0.7260964141666328,0.9218622923552364,0.7796677431291765,
1139,pin01,11-05_0-24-7,2,3,0.249085242121892,0.271086428323499,p,0.01944008819464932,11,0.06713676703220098,0.002398706384544054,10,1.7828107773417926e-05,0.13258217553371737,0.011360869427132091,5,6.677532433235963e-06,0.04987113966707429,0.0027372941016996586,10,0.0005070394036888259,0.14057149273002864,0.016315774231849642,2,0.002946298332437626,,,,,,,0.9310076924286415,0.8421477129343471,0.895937061584814,0.7920063935358862,
1140,pin01,11-05_0-24-7,2,4,0.17897725404647,0.191947240541479,p,0.053018422349043595,30,0.17455559428372255,0.009594825538176217,26,7.421864631154397e-07,0.10606574042697392,0.049230434184239065,4,0.1331222337588739,0.1346520771011006,0.008211882305098976,27,1.3586520551118264e-05,0.07028574636501432,0.05257305030262663,1,0.31889381190707344,,,,,,,0.895793606688968,0.365980078936414,0.8850391331833322,0.14417116676068611,
