,rat,sess,sh,Fs,elec,burst_type,amp_mean,period_mean,rdsym_mean,ptsym_mean,cycling_frac,N_cycles_all,N_cycles_burst,N_seconds,corr_volt_amp_period_r,corr_volt_amp_period_p,corr_volt_amp_time_rdsym_r,corr_volt_amp_time_rdsym_p,corr_volt_amp_time_ptsym_r,corr_volt_amp_time_ptsym_p,corr_period_time_rdsym_r,corr_period_time_rdsym_p,corr_period_time_ptsym_r,corr_period_time_ptsym_p,corr_time_rdsym_time_ptsym_r,corr_time_rdsym_time_ptsym_p,mv_amp_mean,ms_period_mean
498,i01,i01_maze05_MS.001,6,1250,0,2,3607.841488845387,177.7657888604055,0.4789606006206079,0.5017286491821241,0.6611360585077846,6424,4291,923.0088,0.3000813228640016,5.269877141787855e-90,0.045712074458581525,0.0027435867035951697,-0.06768386984480491,9.10189072030646e-06,0.11558873959553338,3.078234603746958e-14,-0.12826756892352395,3.3212792762950036e-17,-0.10728070064901338,1.8440653951126603e-12,3.6078414888453874,142.2126310883244
499,i01,i01_maze05_MS.001,6,1250,0,3,4468.592553508969,169.9467455621302,0.4823073247836785,0.4959573904610744,0.024893370464073583,6424,169,923.0088,0.26636733383394523,0.00046432463877434983,0.11730937289142124,0.12877432543068076,-0.03702713823482402,0.6326898702213863,0.2040491334365328,0.007790710257979648,-0.05257657383460584,0.4972059828843469,0.02054301533749195,0.7909284720467626,4.4685925535089694,135.95739644970413
500,i01,i01_maze05_MS.001,7,1250,0,0,3701.4421762183592,174.69263698630138,0.4641371691464515,0.4844332227522279,0.5305475936440689,6455,3504,923.0056,0.1781875299257795,2.1810732881220354e-26,0.0322188488901151,0.056521070114886746,-0.010844282352904744,0.5210597234821024,0.09270321031556542,3.854053815346853e-08,-0.023461859608224823,0.1649815412565737,-0.11484706615677343,9.20144216604667e-12,3.701442176218359,139.75410958904112
501,i01,i01_maze05_MS.001,7,1250,0,1,4197.016321523024,169.91736930860034,0.45761332467375104,0.4872077451012025,0.0873329479257764,6455,593,923.0056,0.2547431362019128,3.084966836153854e-10,0.05154316143277211,0.21008095869629118,-0.009913832096218853,0.809621675517141,0.16034292437240713,8.79012322497948e-05,0.04796554965560579,0.2435156970670328,-0.019751186562228663,0.6312239735018333,4.197016321523024,135.93389544688029
502,i01,i01_maze05_MS.001,7,1250,0,2,3613.5727546343182,176.7862342819325,0.46773702645504356,0.4877964249977265,0.6945760675774881,6455,4533,923.0056,0.18550629682087458,2.229326823928549e-36,0.027214063271933122,0.06693795571611551,-0.029324534168565952,0.0483556767176151,0.07196768398468555,1.2323627497806805e-06,-0.06209830286937225,2.8666117714884054e-05,-0.12373638422377511,6.233783559976694e-17,3.613572754634318,141.42898742554598
503,i01,i01_maze05_MS.001,7,1250,0,3,4555.937963457267,170.38536585365853,0.4614190659249078,0.4881181684822591,0.030274139181820783,6455,205,923.0056,0.41669386813312953,5.143920867498411e-10,0.05825404326297976,0.4067221624324414,0.04249013887947276,0.5452324948283395,0.17386993324464112,0.012658464237809976,0.09793762498826329,0.1624016070302679,0.04453514044338423,0.5260404702503465,4.555937963457267,136.30829268292683
504,i01,i01_maze05_MS.001,8,1250,0,0,4798.997372421361,169.7332906256673,0.3930604679719138,0.46190765950339,0.6889052983914932,6590,4683,923.0424,-0.02416868849229699,0.09818389951509388,-0.10339688428878974,1.3139677561440615e-12,-0.07008861687616667,1.579068873198566e-06,0.03646942128832153,0.012565367934161603,0.07627296924654749,1.734355590504438e-07,-0.10076924296809375,4.790700337286143e-12,4.798997372421361,135.78663250053384
505,i01,i01_maze05_MS.001,8,1250,0,1,5268.967290825642,165.11206896551724,0.37453031352646854,0.4499906131493318,0.1991986500295111,6590,1392,923.0424,-0.014482546380066753,0.5892800019710523,-0.12222040198067308,4.8069505904603645e-06,-0.04265525751967653,0.11166780040278719,0.022621251789932757,0.39903962254085135,0.03382594826554975,0.20721629282478043,-0.06102653049315046,0.022789373558761164,5.268967290825642,132.08965517241379
506,i01,i01_maze05_MS.001,8,1250,0,2,4683.363813051807,172.35786198059674,0.40366336282671306,0.46963461158651454,0.8160760545777745,6590,5463,923.0424,-0.02738294060720446,0.042985871813870875,-0.14238957110192063,3.8573719401498453e-26,-0.09061119521651431,1.9524242430245016e-11,0.06679982046581728,7.744199082001888e-07,0.06093173149716496,6.582815229012882e-06,-0.08275903346110258,9.011266473582573e-10,4.683363813051806,137.88628958447737
507,i01,i01_maze05_MS.001,8,1250,0,3,5395.858620841459,161.91698113207548,0.37943308123229563,0.4386390252937592,0.03718832417665754,6590,265,923.0424,-0.017313031627582114,0.7790751653489945,-0.1931500745439679,0.0015820651790862843,-0.02733653896071683,0.6577760369746801,0.0868266110794817,0.15871213252306843,-0.10757283926559466,0.0804715844716083,-0.04228815659311172,0.4930576237430314,5.395858620841459,129.53358490566038
508,i01,i01_maze05_MS.001,9,1250,0,0,4870.057437003219,170.20223787815996,0.38693287519604525,0.467508880939871,0.7119031585114617,6579,4826,923.0424,-0.04572380161607626,0.0014868151600699586,-0.13717298076759316,1.047180352781369e-21,-0.06678721058126526,3.423041417833813e-06,0.06084534717686146,2.339876031245687e-05,0.10317675829463852,6.722962773995489e-13,-0.07367298599790764,2.996655308787642e-07,4.8700574370032195,136.16179030252798
509,i01,i01_maze05_MS.001,9,1250,0,1,5386.048781705843,165.44799498746866,0.3639250980833135,0.45440882183985865,0.22885622588951493,6579,1596,923.0424,-0.0337591002491036,0.17765756423028672,-0.10927396574820021,1.213331830135389e-05,-0.05097224932187246,0.04174353768744476,0.017162005398939632,0.49325882643528407,0.07600516323669872,0.0023782174974961113,-0.05872208139766706,0.018969389892830715,5.386048781705843,132.35839598997492
510,i01,i01_maze05_MS.001,9,1250,0,2,4747.938818171065,172.72900900900902,0.39736509736810466,0.47304739135053653,0.8308576074078504,6579,5550,923.0424,-0.045345016138086454,0.0007272228733752612,-0.17528844805768254,1.535965363693945e-39,-0.08267696909871415,6.895372316351234e-10,0.08237974781245648,7.935161216254356e-10,0.08250457709856683,7.481060986700848e-10,-0.059229211441534375,1.0084231726336906e-05,4.747938818171065,138.18320720720723
511,i01,i01_maze05_MS.001,9,1250,0,3,5451.305309139271,161.8369905956113,0.37155397585682254,0.45092020896887286,0.044744206766666406,6579,319,923.0424,-0.00755705951352541,0.8930503283315212,-0.20671661778184028,0.00020095113693472023,-0.09917058871744264,0.07695188921161591,0.042734080983274775,0.4468921938048479,0.024956308384633887,0.6570040292331536,-0.024714678147190694,0.6601162836719606,5.451305309139271,129.46959247648903
